Datetime,Open,High,Low,Close,Volume
2022-01-01 15:30:00,47026.83000000,47491.14000000,46996.75000000,47342.13000000,861.85823000
2022-01-01 15:45:00,47342.12000000,47408.04000000,47117.09000000,47219.04000000,450.04370000
2022-01-01 16:00:00,47219.04000000,47461.29000000,47186.07000000,47428.34000000,320.37946000
2022-01-01 16:15:00,47428.34000000,47527.24000000,47342.42000000,47480.45000000,296.91076000
2022-01-01 16:30:00,47480.46000000,47497.19000000,47375.65000000,47421.77000000,219.15048000
2022-01-01 16:45:00,47421.78000000,47476.99000000,47253.40000000,47268.62000000,213.13849000
2022-01-01 17:00:00,47268.61000000,47369.00000000,47238.81000000,47246.04000000,149.26952000
2022-01-01 17:15:00,47246.04000000,47350.00000000,47241.28000000,47330.45000000,108.91746000
2022-01-01 17:30:00,47330.45000000,47900.00000000,47325.71000000,47846.04000000,697.35462000
2022-01-01 17:45:00,47846.03000000,47954.63000000,47672.01000000,47754.48000000,365.12417000
2022-01-01 18:00:00,47754.47000000,47844.97000000,47660.85000000,47742.16000000,226.83378000
2022-01-01 18:15:00,47742.16000000,47780.74000000,47601.01000000,47637.43000000,175.79179000
2022-01-01 18:30:00,47637.43000000,47658.64000000,47420.00000000,47468.81000000,290.65106000
2022-01-01 18:45:00,47468.81000000,47628.39000000,47430.00000000,47560.55000000,167.48362000
2022-01-01 19:00:00,47560.54000000,47611.84000000,47489.76000000,47508.60000000,160.74950000
2022-01-01 19:15:00,47508.61000000,47508.61000000,47338.53000000,47388.85000000,194.58520000
2022-01-01 19:30:00,47388.84000000,47414.27000000,47300.00000000,47321.34000000,319.37226000
2022-01-01 19:45:00,47321.34000000,47355.79000000,47292.72000000,47329.78000000,155.96464000
2022-01-01 20:00:00,47329.79000000,47358.21000000,47301.01000000,47322.14000000,132.71010000
2022-01-01 20:15:00,47322.15000000,47452.55000000,47250.18000000,47412.36000000,150.26913000
2022-01-01 20:30:00,47412.36000000,47559.03000000,47384.60000000,47393.79000000,228.20570000
